"startX" "startY" "startZ" "endX" "endY" "endZ" "cyl_ID" "parent_ID" "extension_ID" "length" "axis_ID" "segment_ID" "node_ID" "branching_order" "X94.5504632813008"
-0.01 0 2.94 -0.01 0 2.94 286 285 287 0.01 1 302 285 1 94.55
-0.01 0.01 3.09 -0.01 0.01 3.1 303 302 304 0.01 1 318 302 1 98.31
-0.01 0.01 3.24 -0.01 0.01 3.25 319 318 320 0.01 1 338 318 1 100.68
-0.01 0.03 3.42 -0.01 0.03 3.43 339 338 340 0.01 1 359 338 1 100.05
0 0.02 3.61 0 0.02 3.62 360 359 361 0.01 1 379 359 1 98.75
0.02 0.01 3.79 0.02 0.01 3.8 380 379 381 0.01 1 395 379 1 108.09
-0.01 0 3.93 -0.01 0 3.94 396 395 397 0.01 1 431 395 1 94.24
0.01 0.02 4.26 0.01 0.02 4.26 432 431 433 0.01 1 452 431 1 104.37
-0.01 -0.02 4.43 -0.01 -0.02 4.44 453 452 454 0.01 1 475 452 1 105.58
0.06 -0.02 4.61 0.06 -0.02 4.62 476 475 477 0.01 1 496 475 1 113.94
-0.03 0.03 4.77 -0.03 0.03 4.79 501 496 502 0.01 1 520 496 1 98.84
-0.02 -0.01 4.95 -0.02 -0.01 4.95 521 520 522 0.01 1 538 520 1 85.79
-0.02 0.01 5.1 -0.02 0.01 5.11 539 538 540 0.01 1 559 538 1 77.07
-0.03 0.01 5.28 -0.03 0.01 5.29 560 559 561 0.01 1 583 559 1 74.36
-0.02 0.02 5.48 -0.02 0.02 5.48 584 583 585 0 1 601 583 1 67.24
-0.02 0.02 5.64 -0.02 0.02 5.64 602 601 603 0.01 1 662 601 1 63.52
-0.01 0.02 6.13 -0.01 0.02 6.14 663 662 664 0.01 1 685 662 1 53.81
-0.01 0.02 6.31 -0.01 0.02 6.32 686 685 687 0.01 1 709 685 1 48.55
-0.02 0.03 6.52 -0.02 0.03 6.52 710 709 711 0.01 1 728 709 1 41.22
-0.02 0.04 6.68 -0.02 0.04 6.69 729 728 730 0.01 1 741 728 1 33.5
-0.02 0.04 6.78 -0.02 0.04 6.79 742 741 743 0.01 1 811 741 1 28.2
-0.03 0.05 7.35 0.01 0.1 7.35 1252 811 1253 0.06 1 1254 811 1 63.27
-0.03 0.05 7.47 -0.03 0.05 7.48 826 825 827 0.01 45 850 825 2 38.18
-0.03 0.05 7.69 -0.04 0.05 7.7 851 850 852 0.01 45 874 850 2 24.87
-0.01 0.08 7.91 -0.01 0.08 7.91 875 874 876 0 45 897 874 2 16.31
0.04 0.11 7.55 0.04 0.11 7.55 906 905 907 0 363 936 905 3 161.42
0.1 -0.04 6.98 0.1 -0.04 6.98 963 962 964 0.01 43 986 962 2 14.15
0.16 -0.08 7.17 0.16 -0.08 7.18 987 986 988 0.01 43 999 986 2 4.54
0.18 -0.1 7.28 0.19 -0.1 7.29 1000 999 1001 0.01 43 1011 999 2 16.18
0.2 -0.12 7.38 0.21 -0.12 7.39 1012 1011 1013 0.01 43 1033 1011 2 23.34
0.24 -0.14 7.63 0.24 -0.14 7.64 1044 1043 1045 0.01 43 1068 1043 2 15.26
0.25 -0.13 7.85 0.25 -0.14 7.86 1074 1068 1075 0.01 43 1079 1068 2 28.5
-0.03 0.15 7.35 -0.02 0.15 7.34 1257 1254 1258 0.01 1 1258 1254 1 81.17
-0.07 0.2 7.36 -0.07 0.2 7.38 1263 1260 1264 0.01 49 1304 1260 2 17.84
-0.07 0.25 7.3 -0.07 0.25 7.3 1306 1305 1307 0 1 1323 1305 1 175.98
-0.06 0.19 7.14 -0.11 0.23 7.13 1485 1325 1486 0.06 1 1544 1325 1 135.43
-0.08 0.31 7.49 -0.08 0.31 7.5 1364 1363 1365 0.01 51 1387 1363 2 11.57
-0.08 0.34 7.69 -0.08 0.34 7.7 1388 1387 1389 0.01 51 1410 1387 2 11.75
-0.07 0.36 7.9 -0.07 0.36 7.9 1415 1410 1416 0.01 51 1424 1410 2 18.57
0.01 -0.16 6.42 0.02 -0.17 6.42 1564 1563 1565 0.01 37 1588 1563 2 36
0.03 -0.31 6.59 0.03 -0.32 6.6 1589 1588 1590 0.01 37 1610 1588 2 33.82
0.05 -0.43 6.75 0.05 -0.43 6.76 1611 1610 1612 0.01 37 1633 1610 2 12.9
0.08 -0.54 6.93 0.08 -0.54 6.94 1634 1633 1635 0.01 37 1653 1633 2 30.94
0.08 -0.61 7.09 0.08 -0.61 7.1 1654 1653 1655 0.01 37 1670 1653 2 4.46
0.07 -0.65 7.23 0.07 -0.66 7.24 1671 1670 1672 0.01 37 1699 1670 2 18.13
0.08 -0.72 7.45 0.09 -0.73 7.46 1706 1699 1707 0.01 37 1722 1699 2 14.11
